# Decay,NoProcess,Radioactivation,Rayl,Transportation,annihil,compt,conv,eIoni,hIoni,hadElastic,ionIoni,msc,nCapture,nFission,neutronInelastic,phot,photonNuclear,Other
1,950468,548634,1964381,337080060,24029348,14631489,31440360,326010074,7,71767,1512025,189225902,1111,3095,32317,19287546,579448,0
1,1742054,894165,6255994,299528305,47899823,38460018,51860012,783692650,56,239389,2668769,136036429,3618,10248,107143,61096008,946679,0
2,2413880,1123232,9965231,257558727,62727946,58577792,65146950,1085851805,40,457332,3581741,112518596,6756,19236,199511,97256327,1182979,0
6,2995057,1262233,12704325,223972100,72330240,73601182,73830644,1288392031,80,700755,4322630,97783084,10646,28154,300748,124049657,1331404,0
7,3501795,1353449,14634230,199710185,78575567,84359252,79506698,1423171265,126,949506,4931628,88308415,14629,37514,402609,142803231,1425534,0
3,3966593,1410602,15952074,182793844,82682176,91926987,83259382,1513020377,91,1207491,5467685,82244217,18435,46217,501393,155735661,1485696,0
5,4402552,1448405,16857523,171060035,85384391,97322187,85731349,1573222625,81,1467634,5953670,78191676,22401,54323,599853,164648665,1525832,0
5,4806564,1472795,17488974,162859446,87176151,101195464,87378006,1613855528,105,1721572,6395759,75612136,26532,62428,694090,170862287,1551056,0
2,5185665,1486161,17945778,157032411,88369979,103990967,88476716,1641594369,78,1974072,6797522,73826349,30250,69208,783564,175229600,1564966,0
7,5548030,1493983,18271918,152854897,89176375,106024044,89223076,1660732295,104,2224278,7178349,72661419,33905,75500,869721,178376240,1573738,0
5,5921644,1504191,18500955,149829256,89721717,107588644,89729420,1674203483,79,2482395,7570022,71891383,38309,81779,955887,180725579,1582852,0
8,6274111,1504077,18681031,147549680,90089819,108767231,90071772,1683711219,103,2732941,7932905,71372530,41969,88383,1037520,182462563,1585738,0
6,6623579,1504390,18823941,145794534,90350957,109686407,90317624,1690671491,101,2985995,8291394,71020482,45998,93613,1118113,183825935,1586639,0
5,6989326,1510409,18922806,144472986,90534937,110397030,90488855,1695872428,89,3249922,8671623,70702071,50225,99121,1199802,184930320,1590525,0
5,7336849,1511177,19010602,143428438,90664949,110959312,90610958,1699741676,123,3506685,9024626,70559509,54081,103950,1277540,185795675,1590864,0
6,7687145,1513748,19085091,142600700,90758754,111452704,90697930,1702847634,123,3766630,9383013,70418710,57940,108770,1352682,186525778,1592297,0
6,8048422,1518111,19150962,141931320,90822641,111824864,90761174,1705211827,80,4034127,9756874,70297371,62470,114713,1428939,187155339,1592755,0
1,8400645,1513620,19191085,141357946,90863130,112171007,90800200,1707095359,63,4304287,10113797,70147392,66430,118702,1503001,187653668,1591651,0
4,8756220,1515300,19246463,140928423,90901684,112446745,90836908,1708654673,90,4573653,10472566,70124104,70932,123500,1574560,188109891,1592812,0
2,9119620,1515793,19279374,140534423,90941261,112674246,90873389,1710106148,53,4848732,10846800,70092143,75270,127460,1649690,188553745,1593139,0
5,9489654,1516527,19317975,140207469,90976903,112881958,90908157,1711361813,100,5131104,11222269,70023114,79888,131663,1723632,188956552,1594362,0
5,9818358,1514298,19347183,139879182,90990537,113093917,90918837,1712320013,71,5390007,11553275,70033409,83752,134882,1789331,189272046,1590719,0
2,10207267,1518230,19384752,139668668,91009285,113252125,90937799,1713219481,105,5687149,11953392,70000387,88560,139775,1863345,189616024,1593251,0
6,10560486,1514516,19409348,139441903,91026252,113417980,90955457,1714071762,113,5966274,12309474,70026460,92591,142653,1929471,189911255,1592218,0
5,10933403,1516015,19447574,139232154,91028470,113567747,90957324,1714844860,95,6260089,12687009,69911495,97471,145764,1998324,190189604,1592863,0
7,11337492,1516744,19469560,139088952,91048467,113671374,90976040,1715609425,113,6571562,13100886,69919256,102091,150276,2074506,190502843,1593425,0
2,11678447,1513716,19484115,138924272,91057684,113825616,90986007,1716246300,125,6840382,13443374,69883814,107054,153409,2136724,190743624,1593143,0
9,12064927,1514288,19516128,138784318,91063806,113915634,90990768,1716785317,111,7150025,13834518,69868971,111897,157138,2202892,190979859,1593030,0
2,12457874,1514324,19540309,138673357,91066525,114019898,90993272,1717309114,76,7461942,14232679,69887204,117010,159294,2273566,191198795,1593694,0
1,12830004,1517039,19552416,138555516,91080675,114147033,91007830,1717973463,56,7759508,14612066,69860551,122139,163352,2336470,191453185,1593465,0
5,13253849,1516362,19582341,138456733,91087863,114257456,91016316,1718545681,65,8095146,15038004,69862597,126901,165503,2411466,191691926,1596135,0
0,13566295,1511959,19596179,138309162,91101467,114319595,91026050,1718938837,97,8362688,15346757,69823487,131177,167218,2458869,191826805,1590324,0
5,14000756,1514727,19608058,138262116,91100749,114415744,91027054,1719405225,73,8703109,15791761,69836912,136203,170655,2534750,192075812,1593887,0
5,14367467,1512586,19640654,138144910,91106879,114502566,91031750,1719913239,103,9003468,16159725,69794933,140958,173264,2594560,192277549,1593097,0
5,14796314,1512675,19652862,138074529,91111143,114577854,91037168,1720374600,87,9350799,16596928,69778789,146719,176722,2663093,192470562,1592948,0
