TrackID,ParticleName,Energy,PosX,PosY,PosZ,EventType
1,gamma,15,0,0,330,Detection
1,gamma,0.548004,276.12,-152.202,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,4.75882,-53.9014,115.85,330,Detection
1,gamma,0.690185,-137.571,-330,-29.3464,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.0755,-274.63,-57.4426,330,Detection
1,gamma,8.8587,72.8854,4.35553,330,Detection
1,gamma,1.1305,84.4583,-330,187.868,Detection
1,gamma,2.74363,271.443,-114.689,330,Detection
1,gamma,3.25076,-158.431,90.6697,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.84581,-189.94,-209.6,330,Detection
1,gamma,2.43053,-140.109,-182.747,330,Detection
1,gamma,12.1573,-13.2788,40.7463,330,Detection
1,gamma,1.79099,288.683,-45.5447,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,4.64467,48.9184,131.47,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,2.19512,156.509,-191.717,330,Detection
1,gamma,1.21942,-141.451,48.2399,330,Detection
1,gamma,6.37767,100.047,36.486,330,Detection
1,gamma,1.61076,262.095,-188.605,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.333458,-65.2677,-330,-199.552,Detection
1,gamma,15,0,0,330,Detection
1,gamma,6.25642,48.4615,91.9959,330,Detection
1,gamma,1.09086,19.1133,330,236.407,Detection
1,gamma,1.23329,-330,79.9963,308.599,Detection
1,gamma,12.159,11.4233,-40.4254,330,Detection
1,gamma,8.73299,-53.7951,50.8524,330,Detection
1,gamma,0.534215,85.6677,330,181.468,Detection
1,gamma,2.14892,168.509,52.2143,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,9.66409,-60.2255,23.6274,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.37512,8.00066,330,298.095,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.609983,78.4207,34.9503,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,2.20109,-69.5983,8.81904,330,Detection
