# Decay,NoProcess,Radioactivation,Rayl,Transportation,annihil,compt,conv,eIoni,hIoni,hadElastic,ionIoni,msc,nCapture,nFission,neutronInelastic,phot,photonNuclear,Other
4,5271768,1539977,14504873,206873474,76997270,85859484,77863476,1381066580,514,1107797,8134239,84814301,17562,468958,300765,141580817,1553580,0
8,5685116,1582526,15247467,197848721,79289399,90211105,79977207,1430850636,493,1272081,8699194,81597773,20213,536378,343571,148821901,1590414,0
7,6105661,1607090,15872733,190354011,81162567,93908074,81706498,1471946185,349,1441210,9267369,78968482,22854,608762,389211,154899859,1621414,0
6,6516555,1634110,16382074,184110138,82691869,97028711,83119760,1505796071,450,1614773,9813702,76841493,25687,681747,434251,159987809,1645282,0
7,6930217,1654274,16828004,178917525,83933443,99726607,84268398,1533688197,578,1792788,10357796,75061559,28848,756828,481154,164257668,1664248,0
5,7354149,1669377,17196099,174625947,84962576,101974176,85226149,1556870583,380,1980610,10918008,73741141,31837,833886,529529,167880254,1680310,0
5,7769263,1683515,17503190,171032332,85802798,103941863,86004088,1576177601,519,2165553,11457314,72556289,34821,910667,577643,170953208,1694532,0
10,8192539,1686610,17771629,168042086,86496067,105668604,86649101,1592255473,506,2357883,12012034,71660580,38260,990307,627645,173572769,1704092,0
1,8620708,1697699,18009064,165527216,87065534,107116299,87178345,1605769077,405,2553146,12564470,70826302,41721,1073231,679706,175823273,1710566,0
6,9072258,1699697,18203725,163448273,87539445,108381782,87621090,1617136536,572,2764854,13148126,70168964,44821,1161053,732207,177777207,1715230,0
9,9554125,1707978,18376562,161814863,87929102,109535597,87986161,1626810182,533,2983342,13773800,69682677,49201,1253052,790251,179521800,1724081,0
10,10006564,1716681,18529847,160354063,88248968,110512577,88284637,1634891600,534,3200050,14354434,69263572,52650,1340124,844983,181006320,1726251,0
4,10509274,1715235,18662188,159190682,88516306,111392669,88536027,1641868909,579,3435279,15002776,68932901,56749,1438941,907472,182352726,1727838,0
4,11024136,1724164,18783425,158248496,88741700,112207767,88745805,1647986676,511,3678652,15662084,68619166,60486,1538672,967561,183590797,1732469,0
3,11561825,1723203,18900064,157513551,88932788,112924435,88925966,1653270020,530,3929738,16350558,68390426,64813,1645378,1031400,184696734,1735130,0
2,12129182,1719560,19002743,156944921,89089081,113592354,89074154,1657922584,502,4200234,17083152,68173696,69230,1755970,1099614,185721777,1736939,0
5,12707945,1727181,19101179,156472494,89218631,114190562,89197364,1661998487,371,4477671,17818564,68007975,74197,1868174,1170162,186671628,1738185,0
4,13315723,1724897,19187810,156120256,89327644,114763865,89300286,1665684330,515,4770345,18595350,67815247,79179,1986021,1243566,187577936,1738298,0
11,13973649,1727545,19277964,155946217,89423291,115307044,89391974,1669013774,580,5079082,19443377,67715452,84520,2117486,1321653,188446612,1740010,0
13,14640471,1728486,19358231,155804039,89512909,115808064,89476054,1672151635,556,5395610,20300929,67616801,89961,2248886,1401396,189302724,1741361,0
9,15393194,1730703,19444377,155842380,89595262,116299699,89554408,1675088569,532,5752916,21265062,67533496,96255,2397276,1492234,190155849,1742793,0
14,16121859,1729693,19509495,155813091,89650303,116777773,89606524,1677694732,567,6105327,22196767,67480666,102390,2539685,1582367,190931451,1740033,0
10,16988265,1728518,19592369,156052094,89712322,117254054,89667314,1680337189,405,6516174,23304032,67431186,109267,2710704,1685340,191795705,1742143,0
6,17852156,1731876,19677233,156266070,89761957,117744697,89715570,1682927534,621,6925981,24414183,67416844,116424,2883224,1789269,192645878,1741430,0
8,18795507,1727815,19763637,156582703,89803119,118200741,89754097,1685428704,580,7379460,25621661,67293141,124337,3067621,1901052,193504025,1742294,0
8,19821877,1731798,19842754,157003828,89848902,118682628,89798248,1687931738,493,7866955,26934935,67286104,133507,3268166,2027461,194414253,1743171,0
8,20925861,1731279,19933087,157496539,89889168,119198073,89838154,1690486757,633,8398135,28343291,67239608,142769,3483730,2159412,195358310,1743416,0
9,22080313,1728730,20033593,158060977,89925683,119696558,89873517,1693005134,490,8948918,29830160,67207669,152159,3713114,2297139,196320074,1743090,0
3,23379475,1730597,20125591,158732536,89954472,120230971,89901665,1695641264,590,9568779,31480247,67207385,162775,3969578,2451994,197366315,1743711,0
8,24785308,1731770,20227534,159512156,89994547,120797159,89942603,1698469815,650,10243741,33290968,67190865,174873,4245607,2619468,198482724,1743626,0
4,26484620,1733417,20365513,160579195,90034803,121468900,89981305,1701682015,563,11050191,35470751,67172640,188740,4581252,2823532,199803508,1746032,0
